"situation","indicateur_base","formule_base (OR)","indicateur_derive","formule_derivee (probleme)"
"init","FretFluvCat1Request","=K473","FretFluvCat1NbTraj","=K477 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F477)),1,0)"
"init","FretFluvCat1Request","=K473","FretFluvCat1DistAn","=K477 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F477)),1,0)"
"init","FretFluvCat2Request","=K484","FretFluvCat2NbTraj","=K488 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F488)),1,0)"
"init","FretFluvCat2Request","=K484","FretFluvCat2DistAn","=K488 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F488)),1,0)"
"init","FretFluvCat3Request","=K495","FretFluvCat3NbTraj","=K499 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F499)),1,0)"
"init","FretFluvCat3Request","=K495","FretFluvCat3DistAn","=K499 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F499)),1,0)"
"init","FretFluvCat4Request","=K506","FretFluvCat4NbTraj","=K510 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F510)),1,0)"
"init","FretFluvCat4Request","=K506","FretFluvCat4DistAn","=K510 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F510)),1,0)"
"init","FretFluvCat5Request","=K517","FretFluvCat5NbTraj","=K521 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F521)),1,0)"
"init","FretFluvCat5Request","=K517","FretFluvCat5DistAn","=K521 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F521)),1,0)"
"init","FretFluvCat6Request","=K528","FretFluvCat6NbTraj","=K532 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F532)),1,0)"
"init","FretFluvCat6Request","=K528","FretFluvCat6DistAn","=K532 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F532)),1,0)"
"init","FretFluvCat7Request","=K539","FretFluvCat7NbTraj","=K543 * IF(ISNUMBER(SEARCH(""Une estimation du nombre annuel de trajets pour ce type de barge"", F543)),1,0)"
"init","FretFluvCat7Request","=K539","FretFluvCat7DistAn","=K543 * IF(ISNUMBER(SEARCH(""La distance parcourue annuellement pour ce type de barge"", F543)),1,0)"
